"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"137",25,1,1,0,0.702385869167012,0.362714767922782
"138",25,1,1,1,0.82052036256138,0.385480141703267
"139",26,0,0,1,0.624855182662804,0.232234990161837
"140",26,0,1,0,0.849790823966518,0.501582561428646
"141",26,0,1,1,0.917187939325405,0.526772993181599
"142",26,1,0,1,0.474855182662804,0.082234990161837
"143",26,1,1,0,0.699790823966518,0.351582561428646
"144",26,1,1,1,0.817401978450838,0.376772993181599
"145",27,0,0,1,0.615260229419203,0.223805198286734
"146",27,0,1,0,0.847250667921398,0.490630506981226
"147",27,0,1,1,0.916013073363791,0.518240445974105
"148",27,1,0,1,0.465260229419203,0.073805198286734
"149",27,1,1,0,0.697250667921397,0.340630506981226
"150",27,1,1,1,0.814312267840201,0.368240445974105
"151",28,0,0,1,0.605782153068263,0.215594457030943
"152",28,0,1,0,0.8447622693512,0.479849172619373
"153",28,0,1,1,0.914865172457892,0.509872719735574
"154",28,1,0,1,0.455782153068263,0.065594457030943
"155",28,1,1,0,0.6947622693512,0.329849172619373
"156",28,1,1,1,0.81124952228528,0.359872719735574
"157",29,0,0,1,0.596415428842269,0.207589546265583
"158",29,0,1,0,0.842322779766127,0.469229937286795
"159",29,0,1,1,0.913742686747932,0.501660908900592
"160",29,1,0,1,0.446415428842269,0.057589546265583
"161",29,1,1,0,0.692322779766128,0.319229937286795
"162",29,1,1,1,0.808212191926298,0.351660908900592
"163",3,0,0,1,0.911568387003457,0.588973757545385
"164",3,0,1,0,0.94245934767788,0.856299651353864
"165",3,0,1,1,0.963015576446289,0.829784432739136
"166",3,1,0,1,0.761568387003457,0.438973757545385
"167",3,1,1,0,0.79245934767788,0.706299651353864
"168",3,1,1,1,0.907271042499223,0.679784432739136
"169",30,0,0,1,0.587154973748933,0.199778467196413
"170",30,0,1,0,0.839929599451287,0.458764895713363
"171",30,0,1,1,0.912644205325138,0.493596877191142
"172",30,1,0,1,0.437154973748933,0.049778467196413
"173",30,1,1,0,0.689929599451288,0.308764895713363
"174",30,1,1,1,0.805198865854482,0.343596877191142
"175",31,0,0,1,0.577996097756929,0.192150292979346
"176",31,0,1,0,0.837580348233306,0.448446777236821
"177",31,0,1,1,0.911568439597261,0.485673167915497
"178",31,1,0,1,0.427996097756928,0.042150292979346
"179",31,1,1,0,0.687580348233306,0.298446777236821
"180",31,1,1,1,0.802208255477583,0.335673167915497
"181",32,0,0,1,0.568934461770378,0.184695041793896
"182",32,0,1,0,0.835272840507981,0.438268876139985
"183",32,0,1,1,0.910514209113681,0.477882927264389
"184",32,1,0,1,0.418934461770378,0.034695041793896
"185",32,1,1,0,0.68527284050798,0.288268876139985
"186",32,1,1,1,0.799239180344981,0.327882927264389
"187",33,0,0,1,0.559966041266112,0.177403568407767
"188",33,0,1,0,0.833005063794948,0.428224991562673
"189",33,0,1,1,0.909480429421473,0.470219838376228
"190",33,1,0,1,0.409966041266113,0.027403568407767
"191",33,1,1,0,0.683005063794949,0.278224991562673
"192",33,1,1,1,0.796290556003751,0.320219838376228
"193",34,0,0,1,0.551087094682701,0.170267471064522
"194",34,0,1,0,0.830775160230083,0.418309375423327
"195",34,0,1,1,0.908466101609138,0.462678064380724
"196",34,1,0,1,0.401087094682701,0.020267471064522
"197",34,1,1,0,0.680775160230084,0.268309375423327
"198",34,1,1,1,0.793361383542394,0.312678064380724
"199",35,0,0,1,0.542294135819229,0.163279011145573
"200",35,0,1,0,0.828581410519136,0.408516687079465
"201",35,0,1,1,0.907470303261058,0.455252198971663
"202",35,1,0,1,0.392294135819229,0.013279011145573
"203",35,1,1,0,0.678581410519136,0.258516687079465
"204",35,1,1,1,0.790450740545293,0.305252198971663
"205",36,0,0,1,0.533583909635498,0.156431043541857
"206",36,0,1,0,0.826422219964736,0.39884195368813
