"","weeks","immuno","severe_inf_ve","severe_vacc_ve","severe_hybrid_ve","nonsevere_inf_ve","nonsevere_vacc_ve","nonsevere_hybrid_ve"
"146",70,1,0.51226372997571,0.030396147117697,0.547671120299552,0,0,0
"147",71,0,0.660128341195161,0.134574404921303,0.730285954115934,0,0,0
"148",71,1,0.510128341195161,0.0266327077171435,0.544331984035382,0,0,0
"149",72,0,0.658009599975437,0.12643659876993,0.728874180140987,0,0,0
"150",72,1,0.508009599975437,0.022886763732958,0.541005365411413,0,0,0
"151",73,0,0.655907147983313,0.11833609925798,0.72747464219897,0,0,0
"152",73,1,0.505907147983313,0.0191579925074885,0.537690982820374,0,0,0
"153",74,0,0.653820639383932,0.110272227765938,0.726087068773043,0,0,0
"154",74,1,0.503820639383932,0.0154460816628485,0.534388564745425,0,0,0
"155",75,0,0.651749740242457,0.104408970008898,0.72471119794431,0,0,0
"156",75,1,0.501749740242457,0.011750728639193,0.53109784926767,0,0,0
"157",76,0,0.649694127961923,0.098661382242834,0.723346776929578,0,0,0
"158",76,1,0.499694127961923,0.008071640259602,0.527818583603916,0,0,0
"159",77,0,0.647653490754684,0.0929387596230859,0.721993561647152,0,0,0
"160",77,1,0.497653490754684,0.0044085323197095,0.524550523672468,0,0,0
"161",78,0,0.645627527145005,0.0872406715687354,0.720651316308618,0,0,0
"162",78,1,0.495627527145005,0.0007611292003655,0.521293433684913,0,0,0
"163",79,0,0.643615945500621,0.081566700339378,0.719319813034741,0,0,0
"164",79,1,0.493615945500621,0,0.518047085762014,0,0,0
"165",8,0,0.87117226348859,0.799213321490249,0.880607225914491,0.69285385523044,0.365689251475989,0.642548820918299
"166",8,1,0.72117226348859,0.649213321490249,0.815288468722316,0.54285385523044,0.215689251475989,0.492548820918299
"167",80,0,0.64161846359121,0.0759164404948164,0.717998831493776,0,0,0
"168",80,1,0.49161846359121,0,0.514811259572027,0,0,0
"169",81,0,0.639634808171923,0.070289498383947,0.716688158560612,0,0,0
"170",81,1,0.489634808171923,0,0.511585741989841,0,0,0
"171",82,0,0.637664714590269,0.0646854916609184,0.715387587995323,0,0,0
"172",82,1,0.487664714590269,0,0.50837032677553,0,0,0
"173",83,0,0.635707926414755,0.059104048826801,0.714096920139775,0,0,0
"174",83,1,0.485707926414755,0,0.50516481427096,0,0,0
"175",84,0,0.633764195083858,0.054192070628931,0.712815961631097,0,0,0
"176",84,1,0.483764195083858,0,0.50196901111326,0,0,0
"177",85,0,0.63183327957396,0.0506475330187965,0.711544525130867,0,0,0
"178",85,1,0.48183327957396,0,0.498782729964008,0,0,0
"179",86,0,0.629914946085036,0.0471167643279023,0.710282429068989,0,0,0
"180",86,1,0.479914946085036,0,0.495605789253109,0,0,0
"181",87,0,0.628008967742931,0.0435995518866137,0.709029497401305,0,0,0
"182",87,1,0.478008967742931,0,0.492438012936403,0,0,0
"183",88,0,0.626115124317181,0.0400956887124758,0.707785559380045,0,0,0
"184",88,1,0.476115124317181,0,0.489279230266121,0,0,0
"185",89,0,0.624233201953404,0.0366049732953393,0.706550449336307,0,0,0
"186",89,1,0.474233201953404,0,0.486129275573361,0,0,0
