"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"121",18,"65-74 years","healthy",18.3998337363556,0.147951441578149
"122",16,"65-74 years","healthy",14.2558865811033,0.0660091047040971
"123",25,"65-74 years","healthy",23.2344387508167,0.0227617602427921
"124",17,"65-74 years","healthy",14.946544440312,0.0295902883156298
"125",12,"65-74 years","healthy",8.78375123506487,0.0978755690440061
"126",10,"65-74 years","healthy",4.85231419033826,0.113808801213961
"127",8,"65-74 years","healthy",1.31047901490887,0.0379362670713202
"128",11,"65-74 years","healthy",6.49926754691292,0.0705614567526555
"129",26,"65-74 years","healthy",23.3406938060796,0.00455235204855832
"130",19,"65-74 years","healthy",19.6217668718788,0.0523520485584218
"131",4,"75+ years","healthy",0.318776637544195,0.00209205020920505
"132",2,"75+ years","healthy",0.265647197953495,0
"133",20,"75+ years","healthy",21.4111641550517,0.0083682008368202
"134",7,"75+ years","healthy",0.850071033451185,0
"135",3,"75+ years","healthy",0.265647197953495,0
"136",14,"75+ years","healthy",12.5916771829957,0.127615062761506
"137",1,"75+ years","healthy",0.265647197953495,0.0104602510460251
"138",21,"75+ years","healthy",22.5800118260471,0.0460251046025104
"139",5,"75+ years","healthy",0.796941593860485,0.0188284518828452
"140",8,"75+ years","healthy",1.38136542935817,0.0209205020920502
"141",6,"75+ years","healthy",0.850071033451185,0.00209205020920505
"142",15,"75+ years","healthy",15.4075374813027,0.110878661087866
"143",13,"75+ years","healthy",9.35078136796302,0.0585774058577406
"144",22,"75+ years","healthy",22.7394001448192,0.00627615062761515
"145",11,"75+ years","healthy",6.00362667374899,0.098326359832636
"146",9,"75+ years","healthy",1.91265982526516,0.0209205020920502
"147",18,"75+ years","healthy",20.4017048028284,0.0836820083682008
"148",16,"75+ years","healthy",17.47958562534,0.0815899581589959
"149",25,"75+ years","healthy",25.236483805582,0.0167364016736401
"150",23,"75+ years","healthy",24.1207655741773,0.0543933054393304
"151",12,"75+ years","healthy",7.86315705942345,0.0732217573221757
"152",10,"75+ years","healthy",3.50654301298613,0.0627615062761506
