"","week","age_group","perc_doses"
"304",2022-02-06,"65-74 years",0.000817347390358533
"305",2022-02-06,"75+ years",0.000669399757829021
"306",2022-02-13,"0-17 years",0.0124157855177509
"307",2022-02-13,"18-29 years",0.00293384948311005
"308",2022-02-13,"50-64 years",0.00126111673360628
"309",2022-02-13,"65-74 years",0.000648088855019875
"310",2022-02-13,"75+ years",0.000529201553275485
"311",2022-02-20,"0-17 years",0.0098741948104424
"312",2022-02-20,"18-29 years",0.00243444362384987
"313",2022-02-20,"50-64 years",0.00103423677916892
"314",2022-02-20,"65-74 years",0.000535585146810687
"315",2022-02-20,"75+ years",0.000453669710740326
"316",2022-02-27,"0-17 years",0.00762328322179053
"317",2022-02-27,"18-29 years",0.00204241672418127
"318",2022-02-27,"50-64 years",0.000841088047824578
"319",2022-02-27,"65-74 years",0.000460625941167992
"320",2022-02-27,"75+ years",0.000387184457710329
"321",2022-03-06,"0-17 years",0.00585397356140942
"322",2022-03-06,"18-29 years",0.00166985465374245
"323",2022-03-06,"50-64 years",0.000670839069046727
"324",2022-03-06,"65-74 years",0.000362757125489044
"325",2022-03-06,"75+ years",0.000324145524491822
"326",2022-03-13,"0-17 years",0.00508841165355264
"327",2022-03-13,"18-29 years",0.00143454380928562
"328",2022-03-13,"50-64 years",0.000591476996936193
"329",2022-03-13,"65-74 years",0.00035983663695751
"330",2022-03-13,"75+ years",0.000328884214232621
"331",2022-03-20,"0-17 years",0.00439599673694174
"332",2022-03-20,"18-29 years",0.00122516592054175
"333",2022-03-20,"50-64 years",0.000519573273042895
"334",2022-03-20,"65-74 years",0.000348316932194239
"335",2022-03-20,"75+ years",0.000329841525291368
"336",2022-03-27,"0-17 years",0.00347207693780734
"337",2022-03-27,"18-29 years",0.00107339667234438
"338",2022-03-27,"50-64 years",0.00100071169132813
"339",2022-03-27,"65-74 years",0.00172195248806477
"340",2022-03-27,"75+ years",0.00179055460428087
"341",2022-04-03,"0-17 years",0.00279016067599426
"342",2022-04-03,"18-29 years",0.000945615911929667
"343",2022-04-03,"50-64 years",0.00131602366897437
"344",2022-04-03,"65-74 years",0.0028642204524927
"345",2022-04-03,"75+ years",0.00325332590204669
"346",2022-04-10,"0-17 years",0.0024880666563029
"347",2022-04-10,"18-29 years",0.000883977286035383
"348",2022-04-10,"50-64 years",0.00129119374086423
"349",2022-04-10,"65-74 years",0.0026574823143327
"350",2022-04-10,"75+ years",0.00319148360765161
"351",2022-04-17,"0-17 years",0.00233035777277643
"352",2022-04-17,"18-29 years",0.000809140458127122
"353",2022-04-17,"50-64 years",0.00111234330019765
"354",2022-04-17,"65-74 years",0.00216722963950593
"355",2022-04-17,"75+ years",0.00269564434477347
"356",2022-04-24,"0-17 years",0.00226423533601346
"357",2022-04-24,"18-29 years",0.00082615707125812
"358",2022-04-24,"50-64 years",0.00109982526851646
"359",2022-04-24,"65-74 years",0.00190789025790575
"360",2022-04-24,"75+ years",0.00245066844484005
"361",2022-05-01,"0-17 years",0.00197687760996558
"362",2022-05-01,"18-29 years",0.00078801325994139
"363",2022-05-01,"50-64 years",0.00103547359068233
"364",2022-05-01,"65-74 years",0.00171822075271893
"365",2022-05-01,"75+ years",0.00213925515742956
"366",2022-05-08,"0-17 years",0.00189307925621574
"367",2022-05-08,"18-29 years",0.000744600242782437
"368",2022-05-08,"50-64 years",0.00107295272745235
"369",2022-05-08,"65-74 years",0.00171263937463644
"370",2022-05-08,"75+ years",0.00210608432924397
"371",2022-05-15,"0-17 years",0.00202406429116595
"372",2022-05-15,"18-29 years",0.00076389379763493
"373",2022-05-15,"50-64 years",0.00112255636496749
"374",2022-05-15,"65-74 years",0.00169959452586226
"375",2022-05-15,"75+ years",0.00203098327668525
"376",2022-05-22,"0-17 years",0.00225465292745254
