"","day","age_group","perc_doses"
"257",2021-02-04,"18-29 years",0.00239392499973892
"258",2021-02-04,"50-64 years",0.00273816951371307
"259",2021-02-04,"65-74 years",0.00397070547886522
"260",2021-02-04,"75+ years",0.00704202117576167
"261",2021-02-05,"0-17 years",2.56494407865616e-05
"262",2021-02-05,"18-29 years",0.00239392499973892
"263",2021-02-05,"50-64 years",0.00273816951371307
"264",2021-02-05,"65-74 years",0.00397070547886522
"265",2021-02-05,"75+ years",0.00704202117576167
"266",2021-02-06,"0-17 years",2.56494407865616e-05
"267",2021-02-06,"18-29 years",0.00239392499973892
"268",2021-02-06,"50-64 years",0.00273816951371307
"269",2021-02-06,"65-74 years",0.00397070547886522
"270",2021-02-06,"75+ years",0.00704202117576167
"271",2021-02-07,"0-17 years",3.99112497716475e-05
"272",2021-02-07,"18-29 years",0.00238610682816422
"273",2021-02-07,"50-64 years",0.00283673161217465
"274",2021-02-07,"65-74 years",0.00616979625754135
"275",2021-02-07,"75+ years",0.0109574986233355
"276",2021-02-08,"0-17 years",3.99112497716475e-05
"277",2021-02-08,"18-29 years",0.00238610682816422
"278",2021-02-08,"50-64 years",0.00283673161217465
"279",2021-02-08,"65-74 years",0.00616979625754135
"280",2021-02-08,"75+ years",0.0109574986233355
"281",2021-02-09,"0-17 years",3.99112497716475e-05
"282",2021-02-09,"18-29 years",0.00238610682816422
"283",2021-02-09,"50-64 years",0.00283673161217465
"284",2021-02-09,"65-74 years",0.00616979625754135
"285",2021-02-09,"75+ years",0.0109574986233355
"286",2021-02-10,"0-17 years",3.99112497716475e-05
"287",2021-02-10,"18-29 years",0.00238610682816422
"288",2021-02-10,"50-64 years",0.00283673161217465
"289",2021-02-10,"65-74 years",0.00616979625754135
"290",2021-02-10,"75+ years",0.0109574986233355
"291",2021-02-11,"0-17 years",3.99112497716475e-05
"292",2021-02-11,"18-29 years",0.00238610682816422
"293",2021-02-11,"50-64 years",0.00283673161217465
"294",2021-02-11,"65-74 years",0.00616979625754135
"295",2021-02-11,"75+ years",0.0109574986233355
"296",2021-02-12,"0-17 years",3.99112497716475e-05
"297",2021-02-12,"18-29 years",0.00238610682816422
"298",2021-02-12,"50-64 years",0.00283673161217465
"299",2021-02-12,"65-74 years",0.00616979625754135
"300",2021-02-12,"75+ years",0.0109574986233355
"301",2021-02-13,"0-17 years",3.99112497716475e-05
"302",2021-02-13,"18-29 years",0.00238610682816422
"303",2021-02-13,"50-64 years",0.00283673161217465
"304",2021-02-13,"65-74 years",0.00616979625754135
"305",2021-02-13,"75+ years",0.0109574986233355
"306",2021-02-14,"0-17 years",3.79914957514753e-05
"307",2021-02-14,"18-29 years",0.00175381795918295
"308",2021-02-14,"50-64 years",0.00221189818351313
"309",2021-02-14,"65-74 years",0.0069342874411752
"310",2021-02-14,"75+ years",0.0122167797796923
"311",2021-02-15,"0-17 years",3.79914957514753e-05
"312",2021-02-15,"18-29 years",0.00175381795918295
"313",2021-02-15,"50-64 years",0.00221189818351313
"314",2021-02-15,"65-74 years",0.0069342874411752
"315",2021-02-15,"75+ years",0.0122167797796923
"316",2021-02-16,"0-17 years",3.79914957514753e-05
"317",2021-02-16,"18-29 years",0.00175381795918295
"318",2021-02-16,"50-64 years",0.00221189818351313
"319",2021-02-16,"65-74 years",0.0069342874411752
"320",2021-02-16,"75+ years",0.0122167797796923
"321",2021-02-17,"0-17 years",3.79914957514753e-05
"322",2021-02-17,"18-29 years",0.00175381795918295
"323",2021-02-17,"50-64 years",0.00221189818351313
"324",2021-02-17,"65-74 years",0.0069342874411752
"325",2021-02-17,"75+ years",0.0122167797796923
"326",2021-02-18,"0-17 years",3.79914957514753e-05
"327",2021-02-18,"18-29 years",0.00175381795918295
"328",2021-02-18,"50-64 years",0.00221189818351313
"329",2021-02-18,"65-74 years",0.0069342874411752
"330",2021-02-18,"75+ years",0.0122167797796923
"331",2021-02-19,"0-17 years",3.79914957514753e-05
"332",2021-02-19,"18-29 years",0.00175381795918295
"333",2021-02-19,"50-64 years",0.00221189818351313
"334",2021-02-19,"65-74 years",0.0069342874411752
"335",2021-02-19,"75+ years",0.0122167797796923
"336",2021-02-20,"0-17 years",3.79914957514753e-05
"337",2021-02-20,"18-29 years",0.00175381795918295
"338",2021-02-20,"50-64 years",0.00221189818351313
"339",2021-02-20,"65-74 years",0.0069342874411752
"340",2021-02-20,"75+ years",0.0122167797796923
