"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"248",42,0,1,0,0.730845118296579,0.201812222619143
"249",42,0,1,1,0.77828556497171,0.216191308963414
"250",42,1,0,1,0.240953088222723,0
"251",42,1,1,0,0.580845118296579,0.051812222619143
"252",42,1,1,1,0.647862089712792,0.066191308963414
"253",43,0,0,1,0.381287056802871,0
"254",43,0,1,0,0.728016219141942,0.190921654099083
"255",43,0,1,1,0.776329604104859,0.207409578087736
"256",43,1,0,1,0.231287056802871,0
"257",43,1,1,0,0.578016219141942,0.0409216540990828
"258",43,1,1,1,0.643991284196919,0.057409578087736
"259",44,0,0,1,0.371695113413791,0
"260",44,0,1,0,0.725223645164487,0.180137973591948
"261",44,0,1,1,0.774401948043026,0.198734729441409
"262",44,1,0,1,0.221695113413791,0
"263",44,1,1,0,0.575223645164487,0.030137973591948
"264",44,1,1,1,0.640148783486064,0.048734729441409
"265",45,0,0,1,0.362175025210461,0
"266",45,0,1,0,0.722466119906263,0.169457737659389
"267",45,0,1,1,0.772501557565206,0.190163076392098
"268",45,1,0,1,0.212175025210461,0
"269",45,1,1,0,0.572466119906263,0.0194577376593885
"270",45,1,1,1,0.636333548359222,0.040163076392098
"271",46,0,0,1,0.352724674603654,0
"272",46,0,1,0,0.71974243897325,0.15887768752694
"273",46,0,1,1,0.770627453704557,0.181691138132585
"274",46,1,0,1,0.202724674603654,0
"275",46,1,1,0,0.569742438973251,0.00887768752693976
"276",46,1,1,1,0.632544599849551,0.031691138132585
"277",47,0,0,1,0.343342050941822,0
"278",47,0,1,0,0.717051464497003,0.148394735397521
"279",47,0,1,1,0.768778713028773,0.173315623987126
"280",47,1,0,1,0.193342050941822,0
"281",47,1,1,0,0.567051464497003,0
"282",47,1,1,1,0.628781014524745,0.0233156239871257
"283",48,0,0,1,0.334025242957043,0
"284",48,0,1,0,0.714392120130121,0.13800595204787
"285",48,0,1,1,0.766954463382133,0.165033419221295
"286",48,1,0,1,0.184025242957043,0
"287",48,1,1,0,0.564392120130121,0
"288",48,1,1,1,0.625041920229084,0.0150334192212953
